Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
1,CB,vac,200,8,60,60,235,1200,56,96,1.6,0.4,179,1.2,77,0.385,149.3641,43.3719454115111,16.0319453973791,0.41885,12.941448720452,3,0.857142857,0.798069626,0.546842127,52.94027508
2,CB,vac,161.9,8,150,50,120,50,98,114,1.6,1,22,0.6,147.2,0.909203212,88.60687,67.3219322479389,2.1094956862886,0.031500000000001,85.516258185738,1,0.01010101,0.458187155,0.912019882,0
3,CB,vac,200,8,240,60,235,300,161,96,1.7,0.3,74,1.4,168,0.84,88.60687,25.431102091781,7.10860863682951,0.2826,14.838608057619,2,0.349206349,0.650986088,0.746614392,40.45217254
4,CB,vac,200,8,320,80,235,900,43,96,1.8,0.5,192,1.3,54,0.27,102.7453,54.067667317923,17.3580754063052,0.33095,24.752349279144,8,0.793650794,0.763019137,0.661024583,50.59616543
5,CB,air,187,8,60,60,145,125,104.6,96,1.4,0.8,40.4,0.6,128.7,0.688235294,70.26505,36.2316725727241,3.67338052717367,0.10225,21.302942011087,2,0.253968254,0.646566698,0.500578956,40.27712359
6,CB,vac,200,8,320,80,235,200,110,96,1.9,0.7,125,1.2,135,0.675,141.3396,62.5887442056205,11.3186621122938,0.1826,51.514623852842,8,0.873015873,0.837778152,0.403399413,52.67949933
7,CB,arg,178,8,80,80,220,750,143.4,114,1.9,0.6,76.6,1.3,117.3,0.658988764,89.75323,24.5879431762924,4.49672892362654,0.6835,10.983574346604,1,0.428571429,0.8681567,0.640358272,48.71545542
8,CB,vac,300,8,120,120,245,1000,108,184,3,1.4,137,1.6,178,0.593333333,135.6078,21.0265396355887,20.2239061402671,0.978999999999999,10.1844064773,4,0.587301587,0.610007682,0.827936719,36.59351107
9,CB,vac,300,8,360,120,220,500,126,184,2.1,0.8,94,1.3,199,0.663333333,192.5438,28.83309255,13.72108063,0.48165,12.90866273,1,0.968253968,0.882533526,0.682293989,52.90849346
10,CB,arg,182,8,120,40,205,280,54.9,114,1.9,2.4,150.1,-0.5,50,0.274725275,164.2668,80.6002955975652,13.2821997172868,0.1655,33.87706083907,5,0.603174603,0.787639921,0.598022325,52.23718192
11,CB,vac,300,8,360,120,240,300,31,202,3.1,0.3,209,2.8,32,0.106666667,486.7771,195.974491251067,33.707141097196,0.17425,24.330679750195,2,0.936507937,0.866696673,0.620628193,48.67796597
12,CB,vac,300,8,300,140,200,500,107,202,3.2,0.7,93,2.5,216,0.72,290.3668,31.9444073748671,15.2450164697165,0.4831,15.53505977581,1,0.968253968,0.949783395,0.480921742,50.49683987
13,CB,arg,118,8,0,0,140,325,79.7,60,1.3,0.4,60.3,0.9,103.6,0.877966102,97.77777,23.7159329015026,4.62060793139801,0.252649999999999,9.78719169519,1,0.714285714,0.823689222,0.66129662,47.22073024
14,CB,vac,130,8,0,0,200,265,186.5,60,1.3,23.2,13.5,-21.9,35.6,0.273846154,175.3484,97.8065955419518,1.13408568921256,0.011849999999999,100.743331481607,1,0.070707071,0.446426764,0.915151261,138.9742543
15,CB,vac,189,8,180,60,200,40,170,150,1.8,0.9,30,0.9,174,0.920634921,165.0311,112.745715985182,2.25417874037588,0.0202,155.141061555182,1,0.920634921,0.446426764,0.915151261,31.09256917
16,CB,vac,200,8,240,110,215,150,94,114,1.8,1.2,121,0.6,92,0.46,206.6823,83.1432774034967,10.9161342196877,0.1323,51.875841827716,4,0.936507937,0.8541811,0.409732796,52.56582865
17,CB,vac,182,8,400,160,215,600,29.3,60,1.7,0.2,185.7,1.5,128.2,0.704395604,366.791,50.8051687551334,17.3089422975548,0.356449999999995,13.687881882665,3,0.53968254,0.912912854,0.433065324,52.00046339
18,CB,vac,230,8,240,110,240,250,145,114,2,0.7,95,1.3,211,0.917391304,184.1371,39.1913467169755,9.00764682092811,0.2327,11.786105874252,2,0.968253968,0.591088984,0.858556758,44.84662014
19,CB,vac,260,8,240,110,270,350,133,114,1.7,0.6,137,1.1,179,0.688461539,170.3808,38.3853313709341,12.6896601117274,0.3346,19.779697068605,2,0.904761905,0.95751252,0.450178695,53.2870209
20,CB,vac,200,8,170,120,240,200,113,96,1.6,0.4,127,1.2,88,0.44,234.195,66.1092912306348,11.743640679157,0.1797,50.372849306064,6,0.904761905,0.76905775,0.540446959,53.07091886
21,CB,vac,200,8,170,120,240,700,36,96,1.8,0.5,204,1.3,137,0.685,238.7805,60.9729799309177,20.1663300078865,0.34385,19.024054791084,5,0.968253968,0.849428239,0.561269911,52.29325423
22,CB,vac,200,8,170,120,240,1200,22,96,1.5,0.5,218,1,119,0.595,212.032,51.4952718217615,17.9610779823993,0.4417,12.513550622937,3,0.80952381,0.822722732,0.520073045,54.5754167
23,CB,vac,150,8,290,110,230,75,142,78,1.1,0.7,88,0.4,114,0.76,304.8874,137.266590824738,8.09122163401903,0.0592,72.106671985043,2,0.952380952,0.887549177,0.392592538,51.92835025
24,CB,vac,150,8,290,110,230,125,63,78,1.1,0.5,167,0.6,96,0.64,401.9462,139.716938564528,15.193628755278,0.109649999999999,52.653236788896,2,0.904761905,0.906324694,0.41892315,55.56952932
25,CB,vac,150,8,290,110,230,250,22,78,0.7,0.6,208,0.1,109,0.726666667,339.2783,83.7247684407735,18.984127916353,0.2301,17.864272348822,4,0.920634921,0.840111968,0.460031892,52.32724976
26,CB,vac,200,8,340,130,230,400,15,96,1.3,0.3,215,1,172,0.86,356.4738,74.394845974294,19.0223007292101,0.284649999999999,10.947272838197,2,0.888888889,0.823881495,0.539391861,55.27942996
27,CB,vac,223.3,8,0,0,230,610,131.7,96,1.8,0.4,98.3,1.4,182.4,0.816838334,161.2099,18.5590104867928,9.56580995983719,0.59385,10.550516603681,3,0.848484848,0.832587568,0.612740198,49.22626301
28,CB,vac,208,8,200,100,120,50,88.2,60,1.3,1,31.8,0.3,196,0.942307692,114.5911,88.987416977716,2.89099014946388,0.03285,108.377461237716,1,0.02020202,0.61097685,0.793051161,25.98339642
29,CB,vac,150,8,290,110,230,700,16,78,0.8,0.5,214,0.3,121,0.806666667,396.2144,42.9420989486743,18.7244189206745,0.45395,11.768184399196,3,0.968253968,0.899468353,0.450087644,54.767618
30,CB,vac,200,8,340,130,240,400,20,114,1.7,1.2,220,0.5,164,0.82,380.1653,54.2345490056288,20.2181764423547,0.3802,10.988083374191,4,0.952380952,0.879848932,0.617325075,54.94247043
31,CB,vac,223.5,8,180,60,200,50,169.4,78,1.6,0.7,30.6,0.9,171.1,0.765548098,123.762,99.5415288624682,3.31911293861277,0.03355,109.572902010894,1,0.101010101,0.728653216,0.592529668,34.09906822
32,CB,vac,200,8,340,130,240,200,95,114,2,1.6,145,0.4,188,0.94,262.0899,74.6697409077086,13.2235010059998,0.17885,25.104903107031,4,0.936507937,0.778621002,0.751549019,55.09047224
33,CB,air,113,8,120,40,185,150,137,78,1.7,0.7,48,1,87,0.769911504,101.9811,39.742928284736,5.03691559671761,0.12775,48.796565953375,3,0.873015873,0.831848587,0.625395662,44.89003649
34,CB,arg,153.9,8,300,100,215,30,195.2,114,1,1.6,19.8,-0.6,96.2,0.625081222,240.309,138.401580175527,1.92982095053535,0.01405,206.962865265133,1,0.777777778,0.955419519,0.753147982,57.94523432
35,CB,vac,193,8,250,110,140,500,53.4,78,1.8,1.2,86.6,0.6,168,0.870466321,100.4526,34.1634386316789,7.74782308503043,0.32425,10.233356187014,1,0.696969697,0.778949339,0.858001516,48.60883002
36,CB,air,122,8,80,80,185,100,152,78,1.5,0.7,33,0.8,75.2,0.616393443,87.4605,44.1847250255668,3.62920777796374,0.08285,37.331894231288,1,0.825396825,0.838247265,0.565951245,49.26747807
37,CB,arg,156.3,8,240,100,190,70,129,114,1.4,0.1,61,1.3,114.3,0.731285988,183.755,121.600097349543,6.65087164958352,0.0549,70.964859229799,1,0.797979798,0.843328501,0.53458713,46.48689568
38,CB,vac,144,8,205,100,200,800,37.7,132,1.9,0.6,162.3,1.3,113,0.784722222,244.5123,27.5976160268352,18.2099388879141,0.74145,10.208976862707,4,0.888888889,0.91008129,0.532247056,48.86994772
39,CB,vac,235,8,340,130,240,500,72,114,2.8,0.4,168,2.4,203,0.863829787,288.0741,31.8618461970976,15.2246535988036,0.48325,18.616676589794,4,0.968253968,1.063568503,0.470787252,48.59206125
40,CB,air,146.8,8,240,80,200,40,182.2,150,0.9,1,17.8,-0.1,120.8,0.822888283,216.2353,133.223769135529,3.04970041854541,0.023,213.538484663913,1,0.717171717,0.656013145,0.794903802,53.54852148
41,CB,vac,200,8,340,130,250,100,159,96,1.3,0.9,91,0.4,171,0.855,316.7332,96.5709845485453,8.15493616255988,0.085450000000001,46.926460795437,2,0.920634921,0.848323582,0.498537926,49.44775481
42,CB,air,156,8,100,60,190,225,123,96,1.3,0.8,67,0.5,117.5,0.753205128,121.4693,32.831783089728,6.77930006003361,0.20845,15.567960404498,5,0.80952381,0.83106155,0.551464486,49.3845231
43,CB,vac,134.7,8,250,50,120,400,9.7,78,1,0.3,110.3,0.7,120.5,0.894580549,141.7217,31.8088426297318,11.6702505293901,0.382099999999999,12.479962170206,1,0.755102041,1.058738788,0.639250103,47.90700504
44,CB,air,168,8,120,40,120,80,95.8,60,1.5,1.1,24.2,0.4,158,0.940476191,87.4605,38.2863366050802,2.25644757098543,0.05955,33.566703180992,2,0.04040404,0.845509616,0.505605654,27.76007292
45,CB,vac,200,8,340,130,250,1200,12,96,2.1,1.1,238,1,169,0.845,217.3817,42.6873867267267,19.8384210857297,0.4788,18.671396331568,2,0.936507937,0.851975856,0.52757818,52.49035551
46,CB,air,155,8,180,80,190,600,73,96,1.3,1,117,0.3,129.2,0.833548387,145.5429,21.2896046253867,11.9407455060862,0.5798,10.537142362773,2,0.857142857,0.888754332,0.667790145,54.652571
47,CB,air,236.2,8,70,70,110,340,30.3,96,1.8,1.3,79.7,0.5,193.6,0.819644369,65.6796,27.2649017924447,8.67928053822022,0.321000000000001,16.323946591094,4,0.202020202,0.523007081,0.862586117,37.06362082
48,CB,air,158,8,80,80,210,350,96,96,1.6,0.8,114,0.8,126.5,0.800632911,193.3081,114.1420125,1.568654439,0.0138,184.8622274,1,0.968253968,0.952005104,0.590050549,51.62883264
49,CB,arg,209.6,8,200,80,130,450,87.8,114,1.7,0.5,42.2,1.2,121.6,0.580152672,138.6647,37.14872316,12.26229407,0.33335,15.14747545,3,0.414141414,0.61850772,0.781034976,42.81635345
50,CB,vac,102,8,80,40,200,340,136,96,1.2,0.1,64,1.1,112,1.098039216,323.9935,61.0668789877691,10.4204720616906,0.3237,20.796594443966,3,0.822916667,0.787197235,0.686853915,53.37098224
51,CB,vac,165,8,0,0,155,120,143.7,132,1.4,0.8,11.3,0.6,51,0.309090909,86.31414,22.2126640224889,2.04631215144911,0.104150000000001,29.656458964974,2,0.402061856,0.683026947,0.772545997,52.02259934
52,CB,vac,146,8,160,80,180,400,102,132,1.4,0.5,78,0.9,115,0.787671233,189.869,35.816430665671,13.5810928625441,0.3839,20.079126067306,2,0.928571429,1.000820995,0.352484023,48.92295656
53,CB,vac,199,8,210,70,200,110,161,114,1.3,0.3,39,1,135,0.67839196,168.4702,74.1346793086291,6.74207331558004,0.0919,37.219130295435,1,0.888888889,0.869299154,0.609935452,52.64290297
54,CB,vac,152,8,200,80,190,650,65,60,1.4,0.1,125,1.3,129,0.848684211,284.635,35.9234719365421,22.3796252938176,0.63025,14.336568462144,1,0.726315789,0.869485862,0.503801775,47.14813324
55,CB,vac,141,8,120,40,160,390,78,60,1.2,0.1,82,1.1,100,0.709219858,209.3571,38.3395568215573,14.2273137305147,0.37565,20.042327804985,1,0.475609756,0.763991217,0.589465908,49.64859563
56,CB,air,199,8,180,60,180,500,108,114,1.8,0.3,72,1.5,100,0.502512563,177.259,26.0139261872642,12.4263184413203,0.48325,13.165752716362,2,0.781512605,0.876653233,0.500749389,48.84912643
57,CB,air,200,8,240,100,190,500,52,114,2,0.8,138,1.2,108,0.54,154.3317,49.2677108780178,23.5494629932462,0.482450000000001,32.219156426658,10,0.808510638,0.922320026,0.427815014,48.6820742
58,MC,vac,267,8,180,60,210,150,79,96,0.4,0.3,131,0.1,214,0.801498127,539.8919,100.984224806111,13.6928828911325,0.13655,46.523935522556,2,0.174603175,0.595137982,0.412174671,40.65976843
59,MC,vac,240.8,8,300,100,190,300,28.1,114,0.1,0.1,161.9,0,206.4,0.857142857,572.7543,62.2396989428634,17.2583788531642,0.281700000000001,15.894940336841,3,0.633333333,0.609752351,0.458664678,41.41798858
60,MC,arg,220.5,8,240,100,170,520,3.8,96,0.2,0.2,166.2,0,192.4,0.872562358,509.3222,61.0606002712265,17.8139442621324,0.30635,10.863702958116,4,0.358333333,0.539904088,0.480229063,40.66246341
61,MC,air,337,8,350,70,215,320,50.8,150,0.1,0.1,164.2,0,327.4,0.971513353,493.6553,98.94093448,19.83224227,0.23015,8.214572707,1,0.3,0.545128728,0.556429047,40.90250398
62,MC,air,372,8,180,100,220,430,30,114,0.8,0.4,190,0.4,312,0.838709677,370.9944,73.5478472981591,19.7397868907827,0.28035,9.870723363174,1,0.206349206,0.5211345,0.54598376,51.44365954
63,MC,air,291,8,150,50,195,124,6.5,96,0.4,0.3,188.5,0.1,283,0.972508591,494.0374,185.873102532305,19.9529910459712,0.10795,29.218396435426,1,0.523809524,0.601592683,0.636623031,40.72988161
64,MC,vac,275,8,200,80,175,65,47.2,96,0.7,0.6,127.8,0.1,267,0.970909091,420.6701,290.860805032947,13.2180590567917,0.04565,223.306483114355,2,0.428571429,0.474371749,0.736841094,40.15203351
65,MC,arg,221,8,90,70,200,189,4.6,114,0.4,0.2,195.4,0.2,206,0.932126697,445.1259,129.50400046126,21.5425412302984,0.1695,12.806139644909,1,0.650793651,0.676060015,0.522373166,39.57361385
66,MC,air,262,8,90,30,185,40,108,114,0.7,0.3,77,0.4,256,0.977099237,496.7122,344.493682746994,7.92162282894928,0.02335,464.905899631777,1,0.031746032,0.474319583,1.055417702,28.62637918
67,MC,arg,183,8,100,70,220,176,5.7,132,0.4,0.2,214.3,0.2,169,0.923497268,669.0488,152.583881267418,24.2602918040857,0.15975,12.052713674336,1,0.523809524,0.748714272,0.288072569,33.89473805
68,MC,arg,217,8,120,40,210,156,5.5,96,0.3,0.1,204.5,0.2,209,0.963133641,617.8446,161.589407719228,22.5653775679997,0.14055,15.103493311423,1,0.444444444,0.621364917,0.651640005,40.92320071
69,MC,vac,284,8,225,120,200,50,79.5,96,0.4,0.3,120.5,0.1,259,0.911971831,554.4125,396.303855050216,12.7389815945222,0.03225,404.087116345706,1,0.238095238,0.634835172,0.568340944,39.22906901
70,MC,vac,272,8,83,83,205,78,23.1,114,0.4,0.1,181.9,0.3,262,0.963235294,569.3152,318.654563736295,19.2938693847445,0.06075,124.486186762719,1,0.349206349,0.606746731,0.623562455,41.29044134
71,MC,arg,242,8,150,75,225,350,5.3,114,0.4,0.1,219.7,0.3,239,0.987603306,685.4801,136.65237196301,24.6584883302133,0.20925,10.554414238433,1,0.253968254,0.443599723,0.714157468,37.62623736
72,MC,air,319,8,225,75,225,168,6.5,132,0.4,0.1,218.5,0.3,304,0.952978056,623.5764,159.865921619469,23.9554083778353,0.1504,15.54029484336,1,0.26984127,0.503610931,0.700722339,41.56370025
73,MC,air,257,8,80,80,215,195,6.3,96,0.6,0.1,208.7,0.5,249,0.968871595,648.4143,135.203410883637,23.4302504510524,0.177,10.204162136666,1,0.126984127,0.612649964,0.655222651,39.77781842
74,MC,air,235,8,195,110,225,95,15.6,96,0.3,0.1,209.4,0.2,226,0.961702128,576.5755,295.365434665648,22.4027509341065,0.07605,72.045991158067,2,0.53968254,0.744923695,0.543656473,39.89677561
75,MC,vac,266,8,255,135,240,123,6.9,114,0.3,0.1,233.1,0.2,254,0.954887218,703.4397,242.999318755757,24.9796893935246,0.103,26.185729343792,1,0.525252525,0.672488605,0.621989472,35.78735247
76,MC,arg,261,8,100,50,220,70,31.2,114,0.3,0.1,188.8,0.2,245,0.938697318,651.0892,399.298577770545,19.943566684204,0.05025,205.44074669547,1,0.464646465,0.522099636,0.803454065,34.12275186
77,MC,vac,309,8,130,100,235,192,6.3,132,0.3,0.1,228.7,0.2,286,0.925566343,636.1864,148.774433811208,25.4250347086157,0.17305,13.950741895175,1,0.535353535,0.830536104,0.335249794,33.88495461
78,MC,vac,286,8,300,120,210,350,37,114,0.6,0.3,173,0.3,253,0.884615385,584.218,58.8795503261391,18.1226227591242,0.329650000000001,20.182833727861,4,0.666666667,0.652887145,0.454517881,38.70232693
79,MC,arg,312.9,8,120,120,220,500,34,132,0.4,0.3,186,0.1,303.5,0.969958453,523.4607,59.03366478003,21.8153919507943,0.41635,16.664491814802,4,0.555555556,0.580871179,0.543535679,31.98626737
80,MC,vac,205.7,8,400,120,185,400,23.5,96,0.4,0.1,161.5,0.3,175.7,0.854156539,370.2301,51.890862269916,17.1780759493702,0.34295,16.286766208898,5,0.316666667,0.558461914,0.546717503,42.29369076
81,PA,arg,355.4,8,240,120,215,100,103.6,132,7.5,0.8,111.4,6.7,334.3,0.940630276,249.4799,150.105284958782,12.6681825081438,0.08495,88.584462549422,2,0.313131313,0.551694047,0.455836322,40.62844895
82,PA,vac,305.6,8,240,80,200,480,15.08,78,7,0.6,184.92,6.4,1,1,202.0968,48.3566453485384,19.7145672499396,0.41705,16.383595689598,5,0.484848485,0.587509086,0.469279915,41.75351609
83,PA,vac,346.6,8,400,120,180,700,4.5,118,7.1,1.2,175.5,5.9,177.5,51.21177149,210.1214,60.3004428830022,17.6223513935733,0.31305,13.26411068266,1,0.232323232,0.556256789,0.607161047,44.59925578
84,PA,vac,214.7,8,210,80,200,420,3.2,96,3.4,0.3,196.8,3.1,159.3,74.19655333,345.7744,67.3259795651975,20.8369369295205,0.3266,18.627949162128,1,0.565656566,0.624927726,0.453668267,38.40751074
85,PA,arg,378.7,8,120,60,160,540,2.7,150,6.8,1.2,157.3,5.6,260,68.65592818,154.7138,64.1929110606898,20.8461369289508,0.3345,15.568457164154,3,0.484848485,0.614029497,0.516692112,40.05643999
86,PA,air,311.5,8,120,40,210,360,47.2,118,6.2,0.8,162.8,5.4,278.8,89.5024077,173.4378,51.3835655164222,17.503290381888,0.343700000000002,27.046493124084,3,0.303030303,0.594604227,0.478030825,36.23648772
