,R1_CB,R1_MC,R1_PA,cap,volt,mass,ptime,pre_volt,pre_peak,I_Max,charge_tot,I_Final,GYield,Yield,Material
0,1.0,0.0,0.0,96.0,235.0,200.0,1200.0,60.0,60.0,149.3641,16.0319454,9.50235872,85.7142857,38.5,CB
1,1.0,0.0,0.0,114.0,120.0,161.9,50.0,150.0,50.0,88.60687,2.109495686,87.80898819,1.0101010000000001,90.9203212,CB
2,1.0,0.0,0.0,96.0,235.0,200.0,300.0,240.0,60.0,88.60687,7.108608637,14.07435806,34.9206349,84.0,CB
3,1.0,0.0,0.0,96.0,235.0,200.0,900.0,320.0,80.0,102.7453,17.35807541,10.23175128,79.3650794,27.0,CB
4,1.0,0.0,0.0,96.0,145.0,187.0,125.0,60.0,60.0,70.26505,3.673380527,15.18901201,25.3968254,68.82352940000001,CB
5,1.0,0.0,0.0,96.0,235.0,200.0,200.0,320.0,80.0,141.3396,11.31866211,28.20523385,87.30158730000001,67.5,CB
6,1.0,0.0,0.0,114.0,220.0,178.0,750.0,80.0,80.0,89.75323,4.496728924,10.60145335,42.8571429,65.89887639999999,CB
7,1.0,0.0,0.0,184.0,245.0,300.0,1000.0,120.0,120.0,135.6078,20.22390614,10.56652748,58.730158700000004,59.3333333,CB
8,1.0,0.0,0.0,184.0,220.0,300.0,500.0,360.0,120.0,192.5438,13.72108063,12.90866273,96.8253968,66.33333329999999,CB
9,1.0,0.0,0.0,114.0,205.0,182.0,280.0,120.0,40.0,164.2668,13.28219972,65.21099084,60.3174603,27.472527499999998,CB
10,1.0,0.0,0.0,202.0,240.0,300.0,300.0,360.0,120.0,486.7771,33.7071411,15.54189975,93.65079370000001,10.6666667,CB
11,1.0,0.0,0.0,202.0,200.0,300.0,500.0,300.0,140.0,290.3668,15.24501647,16.68141978,96.8253968,72.0,CB
12,1.0,0.0,0.0,60.0,140.0,118.0,325.0,0.0,0.0,97.77777,4.620607931,8.258707695,71.4285714,87.7966102,CB
13,1.0,0.0,0.0,60.0,200.0,130.0,265.0,0.0,0.0,175.3484,1.134085689,173.3462915,7.0707071,27.3846154,CB
14,1.0,0.0,0.0,150.0,200.0,189.0,40.0,180.0,60.0,165.0311,2.25417874,164.3119616,92.0634921,92.0634921,CB
15,1.0,0.0,0.0,114.0,215.0,200.0,150.0,240.0,110.0,206.6823,10.91613422,41.94070183,93.65079370000001,46.0,CB
16,1.0,0.0,0.0,60.0,215.0,182.0,600.0,400.0,160.0,366.791,17.3089423,8.720309883,53.968254,70.4395604,CB
17,1.0,0.0,0.0,114.0,240.0,230.0,250.0,240.0,110.0,184.1371,9.007646821,13.31458887,96.8253968,91.73913040000001,CB
18,1.0,0.0,0.0,114.0,270.0,260.0,350.0,240.0,110.0,170.3808,12.68966011,20.54393707,90.4761905,68.84615389999999,CB
19,1.0,0.0,0.0,96.0,240.0,200.0,200.0,170.0,120.0,234.195,11.74364068,51.90132931,90.4761905,44.0,CB
20,1.0,0.0,0.0,96.0,240.0,200.0,700.0,170.0,120.0,238.7805,20.16633001,9.471024791,96.8253968,68.5,CB
21,1.0,0.0,0.0,96.0,240.0,200.0,1200.0,170.0,120.0,212.032,17.96107798,8.310217623,80.952381,59.5,CB
22,1.0,0.0,0.0,78.0,230.0,150.0,75.0,290.0,110.0,304.8874,8.091221634,70.19607199,95.23809519999999,76.0,CB
23,1.0,0.0,0.0,78.0,230.0,150.0,125.0,290.0,110.0,401.9462,15.19362876,49.59626679,90.4761905,64.0,CB
24,1.0,0.0,0.0,78.0,230.0,150.0,250.0,290.0,110.0,339.2783,18.98412792,9.839733349,92.0634921,72.66666670000001,CB
25,1.0,0.0,0.0,96.0,230.0,200.0,400.0,340.0,130.0,356.4738,19.02230073,11.32939484,88.8888889,86.0,CB
26,1.0,0.0,0.0,96.0,230.0,223.3,610.0,0.0,0.0,161.2099,9.56580996,7.875669604,84.8484848,81.68383340000001,CB
27,1.0,0.0,0.0,60.0,120.0,208.0,50.0,200.0,100.0,114.5911,2.890990149,108.7595612,2.0202020000000003,94.2307692,CB
28,1.0,0.0,0.0,78.0,230.0,150.0,700.0,290.0,110.0,396.2144,18.72441892,9.093336399,96.8253968,80.66666670000001,CB
29,1.0,0.0,0.0,114.0,240.0,200.0,400.0,340.0,130.0,380.1653,20.21817644,7.548993374,95.23809519999999,82.0,CB
30,1.0,0.0,0.0,78.0,200.0,223.5,50.0,180.0,60.0,123.762,3.319112939,110.719302,10.1010101,76.5548098,CB
31,1.0,0.0,0.0,114.0,240.0,200.0,200.0,340.0,130.0,262.0899,13.22350101,27.39762311,93.65079370000001,94.0,CB
32,1.0,0.0,0.0,78.0,185.0,113.0,150.0,120.0,40.0,101.9811,5.036915597,49.56080595,87.30158730000001,76.9911504,CB
33,1.0,0.0,0.0,114.0,215.0,153.9,30.0,300.0,100.0,240.309,1.929820951,232.9470653,77.77777780000001,62.5081222,CB
34,1.0,0.0,0.0,78.0,140.0,193.0,500.0,250.0,110.0,100.4526,7.747823085,5.647903187,69.6969697,87.0466321,CB
35,1.0,0.0,0.0,78.0,185.0,122.0,100.0,80.0,80.0,87.4605,3.629207778,35.42129423,82.5396825,61.6393443,CB
36,1.0,0.0,0.0,114.0,190.0,156.3,70.0,240.0,100.0,183.755,6.65087165,66.37940923,79.7979798,73.1285988,CB
37,1.0,0.0,0.0,132.0,200.0,144.0,800.0,205.0,100.0,244.5123,18.20993889,10.59109786,88.8888889,78.47222219999999,CB
38,1.0,0.0,0.0,114.0,240.0,235.0,500.0,340.0,130.0,288.0741,15.2246536,17.08818659,96.8253968,86.3829787,CB
39,1.0,0.0,0.0,150.0,200.0,146.8,40.0,240.0,80.0,216.2353,3.049700419,216.2132847,71.71717170000001,82.2888283,CB
40,1.0,0.0,0.0,96.0,250.0,200.0,100.0,340.0,130.0,316.7332,8.154936163,51.5119108,92.0634921,85.5,CB
41,1.0,0.0,0.0,96.0,190.0,156.0,225.0,100.0,60.0,121.4693,6.77930006,12.1288704,80.952381,75.32051279999999,CB
42,1.0,0.0,0.0,78.0,120.0,134.7,400.0,250.0,50.0,141.7217,11.67025053,10.95147617,75.5102041,89.4580549,CB
43,1.0,0.0,0.0,60.0,120.0,168.0,80.0,120.0,40.0,87.4605,2.256447571,29.36337318,4.0404040000000006,94.0476191,CB
44,1.0,0.0,0.0,96.0,250.0,200.0,1200.0,340.0,130.0,217.3817,19.83842109,10.26472833,93.65079370000001,84.5,CB
45,1.0,0.0,0.0,96.0,190.0,155.0,600.0,180.0,80.0,145.5429,11.94074551,12.06562936,85.7142857,83.3548387,CB
46,1.0,0.0,0.0,96.0,110.0,236.2,340.0,70.0,70.0,65.6796,8.679280538,14.41333659,20.2020202,81.96443690000001,CB
47,1.0,0.0,0.0,96.0,210.0,158.0,350.0,80.0,80.0,193.3081,1.568654439,184.8622274,96.8253968,80.0632911,CB
48,1.0,0.0,0.0,114.0,130.0,209.6,450.0,200.0,80.0,138.6647,12.26229407,15.14747545,41.4141414,58.0152672,CB
49,1.0,0.0,0.0,96.0,200.0,102.0,340.0,80.0,40.0,323.9935,10.42047206,56.71598444,82.2916667,109.80392160000001,CB
50,1.0,0.0,0.0,132.0,155.0,165.0,120.0,0.0,0.0,86.31414,2.046312151,33.85978896,40.2061856,30.909090900000002,CB
51,1.0,0.0,0.0,132.0,180.0,146.0,400.0,160.0,80.0,189.869,13.58109286,20.46124607,92.8571429,78.7671233,CB
52,1.0,0.0,0.0,114.0,200.0,199.0,110.0,210.0,70.0,168.4702,6.742073316,35.3085303,88.8888889,67.839196,CB
53,1.0,0.0,0.0,60.0,190.0,152.0,650.0,200.0,80.0,284.635,22.37962529,17.39353846,72.63157890000001,84.8684211,CB
54,1.0,0.0,0.0,60.0,160.0,141.0,390.0,120.0,40.0,209.3571,14.22731373,19.6602078,47.5609756,70.9219858,CB
55,1.0,0.0,0.0,114.0,180.0,199.0,500.0,180.0,60.0,177.259,12.42631844,15.07636272,78.15126049999999,50.2512563,CB
56,1.0,0.0,0.0,114.0,190.0,200.0,500.0,240.0,100.0,154.3317,23.54946299,30.30854643,80.8510638,54.0,CB
57,0.0,1.0,0.0,96.0,210.0,267.0,150.0,180.0,60.0,539.8919,13.69288289,44.99544552,17.4603175,80.1498127,MC
58,0.0,1.0,0.0,114.0,190.0,240.8,300.0,300.0,100.0,572.7543,17.25837885,13.98433034,63.33333330000001,85.7142857,MC
59,0.0,1.0,0.0,96.0,170.0,220.5,520.0,240.0,100.0,509.3222,17.81394426,10.09946096,35.8333333,87.2562358,MC
60,0.0,1.0,0.0,150.0,215.0,337.0,320.0,350.0,70.0,493.6553,19.83224227,8.214572707,30.0,97.1513353,MC
61,0.0,1.0,0.0,114.0,220.0,372.0,430.0,180.0,100.0,370.9944,19.73978689,12.54557236,20.6349206,83.8709677,MC
62,0.0,1.0,0.0,96.0,195.0,291.0,124.0,150.0,50.0,494.0374,19.95299105,19.28324644,52.380952400000005,97.2508591,MC
63,0.0,1.0,0.0,96.0,175.0,275.0,65.0,200.0,80.0,420.6701,13.21805906,212.9891831,42.8571429,97.0909091,MC
64,0.0,1.0,0.0,114.0,200.0,221.0,189.0,90.0,70.0,445.1259,21.54254123,7.838565645,65.0793651,93.21266969999999,MC
65,0.0,1.0,0.0,114.0,185.0,262.0,40.0,90.0,30.0,496.7122,7.921622829,484.7761996,3.1746032,97.7099237,MC
66,0.0,1.0,0.0,132.0,220.0,183.0,176.0,100.0,70.0,669.0488,24.2602918,10.90634767,52.380952400000005,92.3497268,MC
67,0.0,1.0,0.0,96.0,210.0,217.0,156.0,120.0,40.0,617.8446,22.56537757,12.81076331,44.4444444,96.3133641,MC
68,0.0,1.0,0.0,96.0,200.0,284.0,50.0,225.0,120.0,554.4125,12.73898159,408.2904163,23.809523799999997,91.1971831,MC
69,0.0,1.0,0.0,114.0,205.0,272.0,78.0,83.0,83.0,569.3152,19.29386938,108.8192868,34.9206349,96.3235294,MC
70,0.0,1.0,0.0,114.0,225.0,242.0,350.0,150.0,75.0,685.4801,24.65848833,9.790172238,25.3968254,98.7603306,MC
71,0.0,1.0,0.0,132.0,225.0,319.0,168.0,225.0,75.0,623.5764,23.95540838,15.15817484,26.984127,95.29780559999999,MC
72,0.0,1.0,0.0,96.0,215.0,257.0,195.0,80.0,80.0,648.4143,23.43025045,9.057799137,12.6984127,96.8871595,MC
73,0.0,1.0,0.0,96.0,225.0,235.0,95.0,195.0,110.0,576.5755,22.40275093,60.96448116,53.968254,96.1702128,MC
74,0.0,1.0,0.0,114.0,240.0,266.0,123.0,255.0,135.0,703.4397,24.97968939,23.51087934,52.52525249999999,95.4887218,MC
75,0.0,1.0,0.0,114.0,220.0,261.0,70.0,100.0,50.0,651.0892,19.94356668,187.4810467,46.4646465,93.8697318,MC
76,0.0,1.0,0.0,132.0,235.0,309.0,192.0,130.0,100.0,636.1864,25.42503471,9.365291895,53.53535350000001,92.5566343,MC
77,0.0,1.0,0.0,114.0,210.0,286.0,350.0,300.0,120.0,584.218,18.12262276,19.03647373,66.6666667,88.4615385,MC
78,0.0,1.0,0.0,132.0,220.0,312.9,500.0,120.0,120.0,523.4607,21.81539195,11.31479781,55.5555556,96.9958453,MC
79,0.0,1.0,0.0,96.0,185.0,205.7,400.0,400.0,120.0,370.2301,17.17807595,9.026465209,31.6666667,85.4156539,MC
80,0.0,0.0,1.0,132.0,215.0,355.4,100.0,240.0,120.0,249.4799,12.66818251,82.85264255,31.313131300000002,94.0630276,PA
81,0.0,0.0,1.0,78.0,200.0,305.6,480.0,240.0,80.0,202.0968,19.71456725,12.56238569,48.4848485,100.0,PA
82,0.0,0.0,1.0,118.0,180.0,346.6,700.0,400.0,120.0,210.1214,17.62235139,8.296537683,23.2323232,5121.177149,PA
83,0.0,0.0,1.0,96.0,200.0,214.7,420.0,210.0,80.0,345.7744,20.83693693,11.74976616,56.565656600000004,7419.655333,PA
84,0.0,0.0,1.0,150.0,160.0,378.7,540.0,120.0,60.0,154.7138,20.84613693,7.543911164,48.4848485,6865.592818,PA
85,0.0,0.0,1.0,118.0,210.0,311.5,360.0,120.0,40.0,173.4378,17.50329038,26.28225312,30.3030303,8950.24077,PA
86,0.0,0.0,1.0,132.0,200.0,342.0,75.0,205.0,105.0,280.0495,9.551260712,68.68084159,30.3030303,7777.777778,PA
87,0.0,0.0,1.0,78.0,120.0,230.0,50.0,0.0,0.0,70.26505,1.165984251,67.12026342,0.0,8130.434783,PA
88,0.0,0.0,1.0,96.0,210.0,257.0,360.0,260.0,110.0,401.5641,19.53304469,9.45535783,52.52525249999999,7159.533073999999,PA
89,0.0,0.0,1.0,114.0,220.0,204.0,560.0,260.0,110.0,497.8586,21.42253111,6.742412356,30.3030303,6617.647058999999,PA
90,0.0,0.0,1.0,150.0,215.0,293.0,90.0,240.0,120.0,386.2792,11.57976762,22.39470691,74.7474747,6245.733788,PA
91,0.0,0.0,1.0,60.0,120.0,227.0,40.0,75.0,55.0,78.67172,0.859061596,75.61542266,0.0,8149.779736,PA
92,0.0,0.0,1.0,132.0,190.0,204.0,50.0,115.0,65.0,298.0092,5.98293384,260.5013254,43.434343399999996,7549.0196080000005,PA
93,0.0,0.0,1.0,60.0,130.0,391.0,100.0,120.0,90.0,77.52535,4.743945789,56.48980806,0.0,7928.388747,PA
94,0.0,0.0,1.0,114.0,185.0,223.4,110.0,180.0,60.0,247.1871,11.78190344,52.19045103,72.7272727,79.6329454,PA
95,0.0,0.0,1.0,96.0,220.0,257.2,275.0,240.0,120.0,330.8717,19.29256618,10.25578669,49.494949500000004,60.3810264,PA
96,0.0,0.0,1.0,132.0,184.0,297.0,332.0,240.0,80.0,286.5456,16.30153666,21.59275046,62.626262600000004,7239.057239000001,PA
97,0.0,0.0,1.0,114.0,200.0,354.0,244.0,200.0,125.0,322.8471,17.31568147,24.28100291,76.76767679999999,7937.853106999999,PA
98,0.0,0.0,1.0,150.0,198.0,358.0,227.0,260.0,110.0,349.5956,20.3191755,22.71438723,77.77777780000001,7374.301676,PA
99,0.0,0.0,1.0,114.0,189.0,257.0,203.0,264.0,66.0,259.0329,14.39221959,30.41561566,43.434343399999996,6381.322956999999,PA
100,0.0,0.0,1.0,168.0,211.0,302.0,187.0,220.0,105.0,332.018,18.92432174,30.37576044,82.8282828,6821.192053,PA
101,0.0,0.0,1.0,150.0,189.0,237.0,332.0,200.0,100.0,331.2538,16.7755566,13.92074429,84.8484848,7257.383966,PA
102,0.0,0.0,1.0,96.0,183.0,313.0,190.0,160.0,95.0,269.3502,18.53651202,24.83294753,73.73737369999999,7507.98722,PA
103,0.0,0.0,1.0,114.0,215.0,222.0,178.0,290.0,130.0,500.5334,25.06667066,16.62857134,72.7272727,5540.540541,PA
104,0.0,0.0,1.0,168.0,195.0,233.0,190.0,240.0,100.0,352.6526,17.21837675,21.56325071,49.494949500000004,4549.356223,PA
105,0.0,0.0,1.0,132.0,194.0,269.0,253.0,225.0,90.0,346.5386,18.23179646,17.01466541,82.8282828,4312.267658,PA
106,0.0,0.0,1.0,186.0,181.0,270.0,277.0,195.0,65.0,274.3177,21.68929443,29.67713062,80.8080808,6962.962963,PA
107,0.0,0.0,1.0,96.0,203.0,292.0,164.0,300.0,115.0,353.4168,17.09973157,21.36351711,62.626262600000004,6095.890411,PA
108,0.0,0.0,1.0,96.0,216.0,267.0,301.0,190.0,120.0,458.8822,18.63814394,19.10754716,75.7575758,6292.134831,PA
109,0.0,0.0,1.0,114.0,207.0,277.0,155.0,320.0,80.0,355.7095,9.97584798,28.49026579,61.6161616,8086.642599,PA
110,0.0,0.0,1.0,132.0,209.0,273.0,198.0,295.0,125.0,471.1101,21.5958951,27.72643613,78.7878788,7216.117216000001,PA
111,0.0,0.0,1.0,150.0,209.0,348.0,202.0,200.0,120.0,383.9865,23.57412172,35.65614367,70.7070707,5890.804598,PA
112,0.0,0.0,1.0,114.0,196.0,310.0,179.0,210.0,110.0,286.5456,18.12703919,24.83008162,87.8787879,6387.096774,PA
113,0.0,0.0,1.0,186.0,204.0,245.0,305.0,300.0,100.0,461.175,29.15030825,11.26894319,70.7070707,3632.653061,PA
114,0.0,0.0,1.0,114.0,180.0,212.0,500.0,240.0,100.0,247.5693,18.79817592,14.43591994,76.9230769,65.0943396,PA
115,0.0,0.0,1.0,114.0,160.0,321.0,220.0,240.0,100.0,223.1135,18.86062885,33.50854326,49.2753623,31.152648,PA
116,0.0,1.0,0.0,114.0,217.0,302.0,178.0,200.0,125.0,605.2346,28.36858626,18.58859069,30.3030303,88.7417219,MC
117,0.0,1.0,0.0,132.0,205.0,268.0,142.0,260.0,110.0,633.1295,20.23482634,98.50127074,35.353535400000005,57.4626866,MC
118,0.0,1.0,0.0,96.0,196.0,288.0,168.0,140.0,95.0,545.2416,15.69382326,36.58293907,53.53535350000001,78.125,MC
119,0.0,1.0,0.0,114.0,182.0,303.0,194.0,180.0,100.0,468.8174,24.20996608,14.01990581,16.1616162,83.8283828,MC
120,0.0,1.0,0.0,96.0,216.0,339.0,115.0,310.0,110.0,559.3801,12.80633034,40.45516224,40.4040404,85.84070799999999,MC
121,0.0,1.0,0.0,132.0,188.0,304.0,193.0,180.0,120.0,516.9646,22.28029213,20.8024409,9.0909091,63.815789499999994,MC
122,0.0,1.0,0.0,114.0,194.0,271.0,105.0,150.0,90.0,513.9077,13.81300197,43.40834815,38.383838399999995,91.8819188,MC
123,0.0,1.0,0.0,96.0,214.0,273.0,238.0,205.0,105.0,615.1698,19.98011305,34.21894349,29.292929299999997,83.5164835,MC
124,0.0,1.0,0.0,114.0,225.0,283.0,137.0,300.0,140.0,649.9428,18.22155545,39.98794388,43.434343399999996,75.97173149999999,MC
125,0.0,1.0,0.0,96.0,200.0,246.0,71.0,180.0,100.0,537.2171,7.907104264,63.69680217,16.1616162,76.8292683,MC
126,0.0,1.0,0.0,132.0,211.0,282.0,136.0,300.0,140.0,604.8525,22.47281631,44.33193156,48.4848485,61.7021277,MC
127,0.0,1.0,0.0,114.0,218.0,261.0,179.0,285.0,125.0,571.608,20.13277067,12.553253,45.4545455,88.5057471,MC
128,0.0,1.0,0.0,96.0,185.0,302.0,298.0,210.0,105.0,463.0856,19.03790485,22.80021272,38.383838399999995,89.7350993,MC
129,0.0,1.0,0.0,96.0,210.0,258.0,212.0,240.0,80.0,601.0313,24.2464397,20.20365933,20.2020202,71.70542640000001,MC
130,0.0,1.0,0.0,96.0,207.0,311.0,185.0,220.0,110.0,548.2986,15.20642083,29.65917203,43.434343399999996,78.1350482,MC
131,0.0,1.0,0.0,132.0,204.0,327.0,242.0,210.0,80.0,564.3477,17.6177833,32.38140504,43.434343399999996,83.1804281,MC
132,0.0,1.0,0.0,96.0,213.0,287.0,54.0,140.0,110.0,539.5098,9.214735753,88.96551261,24.242424200000002,82.92682930000001,MC
133,0.0,1.0,0.0,114.0,182.0,281.0,147.0,150.0,100.0,484.8665,23.46538288,25.06844876,18.1818182,81.13879,MC
134,0.0,1.0,0.0,96.0,189.0,303.0,263.0,175.0,100.0,533.778,20.34175887,35.40925742,58.585858599999995,83.4983498,MC
135,0.0,1.0,0.0,114.0,170.0,268.0,330.0,60.0,60.0,263.2362,22.76761944,17.67723297,14.141414099999999,63.1716418,MC
136,0.0,1.0,0.0,114.0,180.0,204.0,500.0,180.0,60.0,486.395,26.00664167,9.68631173,42.2680412,49.019607799999996,MC
137,0.0,0.0,0.0,150.0,206.0,329.0,225.0,25.0,25.0,67.59021,7.188894584,22.48675988,25.252525300000002,65.0455927,TCB
138,0.0,0.0,0.0,132.0,151.0,382.0,190.0,180.0,90.0,221.585,11.51414134,14.42262213,14.141414099999999,85.8638744,TCB
139,0.0,0.0,0.0,150.0,199.0,433.0,68.0,85.0,85.0,150.1284,3.720483355,18.64357792,6.0606061,88.4526559,TCB
140,0.0,0.0,0.0,114.0,171.0,299.0,196.0,140.0,80.0,173.0556,8.27967902,26.29234113,7.0707071,72.5752508,TCB
141,0.0,0.0,0.0,60.0,214.0,286.0,339.0,40.0,40.0,86.31414,8.709710651,13.67167995,28.282828300000002,69.2307692,TCB
142,0.0,0.0,0.0,132.0,158.0,313.0,361.0,100.0,50.0,78.2896,10.51993061,18.68461772,45.4545455,84.02555910000001,TCB
143,0.0,0.0,0.0,150.0,229.0,378.0,81.0,210.0,105.0,377.4904,8.053360668,14.84651797,32.3232323,78.5714286,TCB
144,0.0,0.0,0.0,78.0,197.0,361.0,405.0,150.0,50.0,94.33868,15.00000888,42.32171368,54.5454545,62.3268698,TCB
145,0.0,0.0,0.0,78.0,213.0,301.0,234.0,270.0,90.0,273.5535,9.090762592,15.21052543,46.4646465,78.0730897,TCB
146,0.0,0.0,0.0,132.0,194.0,415.0,434.0,225.0,100.0,192.9259,16.96749922,21.31581949,42.4242424,70.1204819,TCB
147,0.0,0.0,0.0,150.0,209.0,267.0,275.0,55.0,55.0,97.39565,8.976233737,21.71999788,50.5050505,73.7827715,TCB
148,0.0,0.0,0.0,168.0,187.0,398.0,265.0,60.0,60.0,69.50081,10.96917103,52.6889269,18.1818182,63.8190955,TCB
149,0.0,0.0,0.0,78.0,153.0,265.0,510.0,180.0,90.0,171.5271,14.3190678,9.839962613,35.353535400000005,80.0,TCB
150,0.0,0.0,0.0,96.0,198.0,419.0,372.0,210.0,70.0,139.0469,16.6122898,20.54645907,54.5454545,73.7470167,TCB
151,0.0,0.0,0.0,114.0,193.0,340.0,377.0,270.0,9.0,271.2608,12.42174427,14.75759839,28.282828300000002,75.0,TCB
152,0.0,0.0,0.0,78.0,196.0,357.0,357.0,150.0,50.0,94.33868,7.800418436,10.25945506,47.4747475,82.0728291,TCB
153,0.0,0.0,0.0,96.0,197.0,421.0,373.0,55.0,55.0,49.24839,7.072263418,9.894873417,18.1818182,85.7482185,TCB
154,0.0,0.0,0.0,150.0,208.0,270.0,283.0,55.0,55.0,94.7208,15.77308746,40.39432856,52.52525249999999,54.074074100000004,TCB
155,0.0,0.0,0.0,96.0,198.0,419.0,319.0,225.0,100.0,213.9426,7.9717382,18.19252327,35.353535400000005,70.64439139999999,TCB
156,0.0,0.0,0.0,150.0,208.0,278.0,287.0,150.0,50.0,155.4781,12.22568843,17.91895387,41.4141414,63.3093525,TCB
157,0.0,0.0,0.0,96.0,202.0,419.0,372.0,60.0,60.0,57.65506,7.831231688,16.39609105,17.1717172,75.6563246,TCB
158,0.0,0.0,0.0,150.0,209.0,238.0,272.0,225.0,100.0,359.5307,12.41262361,14.44463231,80.8080808,82.35294119999999,TCB
159,0.0,0.0,0.0,150.0,209.0,239.0,269.0,225.0,100.0,412.2635,11.69547698,14.00274857,76.76767679999999,57.3221757,TCB
160,0.0,0.0,0.0,150.0,211.0,200.0,270.0,270.0,90.0,432.5159,24.93122685,16.25890958,80.8080808,60.5,TCB
161,0.0,0.0,0.0,150.0,212.0,232.0,268.0,270.0,90.0,479.8989,14.62777083,20.39441309,82.8282828,75.862069,TCB
162,0.0,0.0,0.0,150.0,212.0,227.0,267.0,150.0,50.0,130.2581,16.38345318,122.9259943,47.4747475,70.9251101,TCB
163,0.0,0.0,0.0,150.0,209.0,231.0,273.0,225.0,199.0,539.8919,24.53748441,10.59415483,64.6464646,77.4891775,TCB
164,0.0,0.0,0.0,96.0,200.0,284.0,160.0,210.0,70.0,377.8726,10.76253013,17.76385092,65.2173913,56.9366197,TCB
165,0.0,0.0,0.0,132.0,220.0,320.0,700.0,240.0,120.0,584.9822,33.04437189,9.778785028,69.2307692,34.34375,TCB
166,0.0,0.0,0.0,150.0,175.0,276.0,340.0,240.0,80.0,237.6341,16.88104196,17.80966724,63.15789469999999,75.5797101,TCB
167,0.0,0.0,0.0,114.0,185.0,376.0,460.0,225.0,100.0,213.9426,8.149079917,103.0204627,10.6666667,15.8244681,TCB
168,0.0,0.0,0.0,78.0,180.0,265.0,110.0,60.0,60.0,185.2835,8.310964181,35.27585894,48.4848485,69.3207547,TCB
169,0.0,0.0,0.0,78.0,175.0,360.0,220.0,150.0,60.0,104.2738,10.95300034,20.56518301,53.48837210000001,79.8611111,TCB
170,0.0,0.0,0.0,96.0,160.0,321.0,430.0,210.0,70.0,216.9996,18.03051274,20.94745585,63.6363636,80.99688470000001,TCB
171,0.0,0.0,0.0,132.0,150.0,345.0,530.0,200.0,100.0,142.4859,20.532978,9.830294954,50.0,80.05797100000001,TCB
172,0.0,0.0,0.0,60.0,170.0,275.0,390.0,200.0,100.0,237.6341,24.09896935,15.93017189,47.1910112,57.0909091,TCB
173,0.0,0.0,0.0,60.0,180.0,294.0,70.0,210.0,90.0,263.2362,8.849149835,90.03049082,27.058823500000003,79.9319728,TCB
